MPO,,MPO Description,,,,,,,,,,,
,,,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1240016901728,,SIGHT UNIT,,,,,,EA,,N,3284,EA,1
MPO,,MPO Description,,,,,,,,,,,
000134246,,A05014 BINOCULAR NIGHT VISION SYSTEM: (BNVS),,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5855016188462,,"VIEWER KIT,NIGHT VISION",,,,,,KT (1),,J,4077,EA,4
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,044246,,,,10687,,,,,10695,,,
,17201,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000001336,,A35329 ALL SOURCE ANALYSIS SYSTEM: AN/TYQ-93,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
7010016813712,,"WORKSTATION,PORTABLE MULTIFUNCTION",,,,,,EA,,C,3220,EA,1
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,PMFWS-77-6603,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000004390,,B67907 BINOCULAR: M25,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1240014107418,,BINOCULAR M25,,,,,,EA,,J,3311,EA,1
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,20833,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000009169,,"C05002 TRANSFER UNIT,  CRYPT",,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5810016444375,,"TRANSFER UNIT,CRYPTOGRAPHIC KEY",,,,,,EA,,9,8340,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,311010,,,,311229,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000002635,,C06935 CARBINE 5.56 MILLIMETER: M4A1,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1005013820953,,CARBINE 5.56MILL M4A1,,,,,,EA,,2,3298,EA,11
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,W322783,,,,W323122,,,,,W323481,,,
,W323938,,,,W324054,,,,,W324354,,,
,W324449,,,,W324575,,,,,W324867,,,
,W324875,,,,W324926,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000176611,,E05011 ENCRYPTION-DECRYPTI,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5810015938026,,ENCRYPTION-DECRYPTI,,,,,,EA,,9,3311,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,10000071030018171,,,,10000071030018174,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000012354,,"FA205N RECEIVER-TRANSMITTER, RADIO",,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5820016092342,,"RECEIVER-TRANSMITTER,RADIO",,,,,,EA,,9,2263,EA,13
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,513067,,,,513091,,,,,513119,,,
,513121,,,,513122,,,,,513200,,,
,513209,,,,513212,,,,,513214,,,
,513218,,,,513223,,,,,513227,,,
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,513601,,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5820016236066,,"RECEIVER-TRANSMITTER,RADIO",,,,,,EA,,9,2263,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,5835,,,,6919,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5820016850718,,"RECEIVER-TRANSMITTER,RADIO",,,,,,EA,,9,2263,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,TMP_0000345356,,,,TMP_0000345357,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000155855,,FA20A2 RADIO SET,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5820016235737,,RADIO SET,,,,,,SE (1),,9,2264,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,1015637543,,,,RADIOSET6919,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000000377,,"FA950P RECEIVER, GPS",,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5895016299400,,"COMPUTER SYSTEM,SPECIAL PURPOSE",,,,,,EA,,U,1057,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,103148,,,,105206,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000005191,,J00697 JOINT CHMCL AGENT: DETECTOR,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
6665015522704,,DETECTOR CHEMICAL A,,,,,,EA,,7,3311,EA,1
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,M4103984,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000009047,,J68653 ILLUMINATOR INTEGRATED: SMALL ARMS STORM,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5855016465962,,"ILLUMINATOR,INTEGRATED,SMALL ARMS",,,,,,EA,,J,1042,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,2006036,,,,2006184,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000002747,,L02015 LIGHTING KT: MOTION DETECTOR (LKMD) AN/G,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
6210015376769,,LIGHTING KIT MOTION,,,,,,EA,,7,3311,EA,3
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,109909,,,,109943,,,,,110590,,,
MPO,,MPO Description,,,,,,,,,,,
000130929,,L05003 LASER: TARGET LOCATOR MODULE,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1240015904552,,TARGET LOCATOR MODU,,,,,,EA,,7,3311,EA,1
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,69791001524,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000041866,,L69080 LAUNCHER GRENADE: M320A1,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1010015572542,,"LAUNCHER,GRENADE",,,,,,EA,,3,7067,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,254-010634,,,,254-010640,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000177825,,M05036 BINOCULAR,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1240016639471,,BINOCULAR,,,,,,EA,,J,3311,EA,2
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,DM01047,,,,DM01602,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000003322,,M09009 MACHINE GUN 5.56 MILLIMETER: M249,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1005011277510,,MACH GUN 5.56MM M249,,,,,,EA,,2,7067,EA,1
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,163599,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000000858,,M18029 MBITR: URBAN VERSION,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5820016092302,,RADIO SET,,,,,,SE (1),,9,3311,EA,13
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,513067,,,,513091,,,,,513119,,,
,513121,,,,513122,,,,,513200,,,
,513209,,,,513212,,,,,513214,,,
,513218,,,,513223,,,,,513227,,,
,513601,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000000889,,M60256 MOUNT TRIPOD MACH GUN 7.62MM:,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
1005015030141,,MT MACH GUN M192,,,,,,EA,,J,3311,EA,1
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
SysNo,SerNo/RegNo/LotNo,,,SysNo,SerNo/RegNo/LotNo,,,,SysNo,SerNo/RegNo/LotNo,,,
,MUSN-0008,,,,,,,,,,,,
MPO,,MPO Description,,,,,,,,,,,
000008827,,M79678 MONOCULAR NIGHT VISION DEVICE: AN/PVS-14,,,,,,,,,,,
NSN,,NSN Description,,,,,,UI,,CIIC,DLA,BUoM,OH Qty
5855014320524,,MONO NI VIS AN/PVS-14,,,,,,EA,,4,3311,EA,1
